source_file,ts_end,speed_mean,speed_std,speed_p95,rpm_mean,rpm_std,rpm_p95,throttle_mean,throttle_std,throttle_p95,throttle_dp95,brake_mean,brake_p95,brake_dp95,a_mean,a_std,a_p95,a_p05,abs_a_mean,jerk_abs_mean,jerk_abs_p95,l_per_100km,label
20260404_091932.csv,7302800,60.1,0.4999999999999999,61.0,1928.14,15.454462138812856,1945.3,33.66,5.541155114233855,38.0,20.0,0.0,0.0,0.0,0.1111111111111111,0.7777777777777777,1.52777777777777,0.0,0.2222222222222222,4.444444444444444,27.777777777777775,4.8638935108125185,
20260404_091932.csv,7305300,60.68,0.466476151587624,61.0,1945.68,16.413945290514405,1976.0,31.2,13.206059215375342,38.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.6781419786518724,0.0,0.0,0.16666666666666663,3.333333333333333,27.777777777777775,4.8411338167456455,
20260404_091932.csv,7307800,60.42,0.6352952069707436,61.0,1931.64,27.69025821475849,1976.0,19.68,14.0818180644404,38.0,45.49999999999997,0.0,0.0,0.0,-0.1111111111111111,0.5443310539518174,0.0,0.0,0.1111111111111111,2.222222222222222,27.777777777777775,3.622641509435003,
20260404_091932.csv,7310300,59.42,0.4935585071701226,60.0,1906.44,12.501455915212436,1924.0,22.9,12.595634164265013,41.099999999999994,50.0,0.0,0.0,0.0,-0.1111111111111111,0.5443310539518174,0.0,0.0,0.1111111111111111,2.222222222222222,27.777777777777775,3.6957253450008016,
20260404_091932.csv,7312800,59.0,0.0,59.0,1900.32,10.362316343366476,1916.55,32.2,10.289800775525249,45.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.978983050849587,
20260404_091932.csv,7315300,58.72,0.44899888641287294,59.0,1883.32,16.050470398091143,1907.0,31.34,9.95712810000956,45.0,20.0,0.0,0.0,0.0,-0.05555555555555555,0.3888888888888889,0.0,0.0,0.05555555555555555,1.111111111111111,0.0,5.027247956401485,
20260404_091932.csv,7317800,58.22,0.41424630354415964,59.0,1874.48,9.34074943460106,1886.0,35.56,8.911026876853194,42.0,20.0,0.0,0.0,0.0,-0.05555555555555555,0.38888888888888884,0.0,0.0,0.05555555555555555,1.111111111111111,0.0,5.045688766744482,
20260404_091932.csv,7320300,58.0,0.0,58.0,1873.6,15.913516267626084,1886.0,38.02,6.546724371775553,42.0,5.499999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0275862068956485,
20260404_091932.csv,7322800,57.56,0.4963869458396343,58.0,1854.54,19.731406437453973,1883.0,35.06,6.087396816373975,42.0,20.0,0.0,0.0,0.0,-0.05555555555555555,0.8766518798921945,0.0,-1.5277777777777772,0.2777777777777778,5.555555555555555,43.05555555555547,5.1285615010451195,
20260404_091932.csv,7325300,57.56,0.4963869458396343,58.0,1852.36,17.530270961967474,1884.0,34.94,4.8473085315461395,42.0,20.0,0.0,0.0,0.0,0.0,0.9622504486493763,1.52777777777777,-1.5277777777777772,0.33333333333333326,6.666666666666666,43.05555555555547,5.153578874221482,
20260404_091932.csv,7327800,58.06,0.23748684174075835,58.55,1865.86,17.032921064808583,1884.0,23.42,14.656179584052593,42.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.6781419786518723,0.0,0.0,0.16666666666666663,3.333333333333333,27.777777777777775,5.047192559420926,
20260404_091932.csv,7330300,57.7,0.5744562646538028,58.55,1856.68,21.097336324759105,1884.0,9.76,10.732306369089546,28.549999999999997,5.499999999999972,0.0,0.0,0.0,-0.05555555555555555,0.6781419786518724,0.0,0.0,0.16666666666666663,3.333333333333333,27.777777777777775,3.7809358752151847,
20260404_091932.csv,7332800,57.14,0.34698703145794946,58.0,1840.12,16.668101271590594,1869.55,6.48,4.530960163144232,10.0,5.499999999999972,0.0,0.0,0.0,-0.05555555555555555,0.38888888888888884,0.0,0.0,0.05555555555555555,1.111111111111111,0.0,2.545327266363868,eco
20260404_091932.csv,7335300,56.46,0.7539230729988305,57.0,1810.84,32.22319661361982,1844.0,3.24,4.5235384379929835,10.0,0.0,0.0,0.0,0.0,-0.1111111111111111,0.5443310539518174,0.0,0.0,0.1111111111111111,2.222222222222222,27.777777777777775,1.287991498408549,eco
20260404_091932.csv,7337800,54.74,1.3683566786477859,57.0,1733.38,77.90914965522343,1818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2222222222222222,0.7535922203472519,0.0,-2.7777777777777777,0.2222222222222222,4.444444444444445,27.777777777777775,0.0,eco
